央视节目,#genre#
CCTV6,http://119.86.72.213:4022/udp/235.254.198.143:1852
CCTV6,http://119.86.72.213:4022/udp/235.254.198.55:1496
CCTV6,http://125.70.183.105:8123/udp/239.93.0.64:5140
CCTV6,http://125.70.183.105:8123/udp/239.93.1.13:2226
CCTV6,http://61.188.85.118:8001/udp/239.93.0.64:5140
CCTV6,http://61.188.85.118:8001/udp/239.93.1.13:2226
CCTV6,http://61.188.85.163:8001/udp/239.93.0.64:5140
CCTV6,http://61.188.85.163:8001/udp/239.93.1.13:2226
CCTV7,http://106.59.2.162:55555/udp/239.200.200.105:8104
CCTV7,http://113.248.110.83:8181/udp/235.254.198.4:1292
CCTV7,http://113.248.110.83:8181/udp/235.254.198.56:1500
CCTV7,http://113.249.227.18:8000/udp/235.254.198.4:1292
CCTV7,http://113.249.227.18:8000/udp/235.254.198.56:1500
CCTV7,http://119.39.79.108:4022/udp/228.1.1.118:6118
CCTV7,http://119.86.72.213:4022/udp/235.254.198.4:1292
CCTV7,http://119.86.72.213:4022/udp/235.254.198.56:1500
CCTV7,http://125.70.183.105:8123/udp/239.93.0.61:5140
CCTV7,http://125.70.183.105:8123/udp/239.93.0.79:5140
CCTV7,http://125.70.183.105:8123/udp/239.93.1.67:5140
CCTV7,http://125.70.183.105:8123/udp/239.93.1.73:5140
CCTV7,http://61.188.85.118:8001/udp/239.93.0.61:5140
CCTV7,http://61.188.85.118:8001/udp/239.93.0.79:5140
CCTV7,http://61.188.85.118:8001/udp/239.93.1.67:5140
CCTV7,http://61.188.85.118:8001/udp/239.93.1.73:5140
CCTV7,http://61.188.85.163:8001/udp/239.93.0.61:5140
CCTV7,http://61.188.85.163:8001/udp/239.93.0.79:5140
CCTV7,http://61.188.85.163:8001/udp/239.93.1.67:5140
CCTV7,http://61.188.85.163:8001/udp/239.93.1.73:5140
CCTV8,http://106.59.2.162:55555/udp/239.200.200.23:9028
CCTV8,http://113.248.110.83:8181/udp/235.254.198.144:1856
CCTV8,http://113.248.110.83:8181/udp/235.254.198.57:1504
CCTV8,http://113.249.227.18:8000/udp/235.254.198.144:1856
CCTV8,http://113.249.227.18:8000/udp/235.254.198.57:1504
CCTV8,http://119.39.79.108:4022/udp/228.1.1.8:6008
CCTV8,http://119.86.72.213:4022/udp/235.254.198.144:1856
CCTV8,http://119.86.72.213:4022/udp/235.254.198.57:1504
CCTV8,http://125.70.183.105:8123/udp/239.93.1.14:2225
CCTV8,http://125.70.183.105:8123/udp/239.93.1.74:5140
CCTV8,http://125.70.183.105:8123/udp/239.93.42.39:5140
CCTV8,http://61.188.85.118:8001/udp/239.93.1.14:2225
CCTV8,http://61.188.85.118:8001/udp/239.93.1.74:5140
CCTV8,http://61.188.85.118:8001/udp/239.93.42.39:5140
CCTV8,http://61.188.85.163:8001/udp/239.93.1.14:2225
CCTV8,http://61.188.85.163:8001/udp/239.93.1.74:5140
CCTV8,http://61.188.85.163:8001/udp/239.93.42.39:5140
CCTV9,http://106.59.2.162:55555/udp/239.200.200.106:8112
CCTV9,http://113.248.110.83:8181/udp/235.254.198.5:1296
CCTV9,http://113.248.110.83:8181/udp/235.254.198.58:1508
CCTV9,http://113.249.227.18:8000/udp/235.254.198.5:1296
CCTV9,http://113.249.227.18:8000/udp/235.254.198.58:1508
CCTV9,http://119.39.79.108:4022/udp/228.1.1.9:6009
CCTV9,http://119.86.72.213:4022/udp/235.254.198.5:1296
CCTV9,http://119.86.72.213:4022/udp/235.254.198.58:1508
CCTV9,http://125.70.183.105:8123/udp/239.93.1.24:5140
CCTV9,http://125.70.183.105:8123/udp/239.93.1.64:5140
CCTV9,http://125.70.183.105:8123/udp/239.93.1.75:5140
CCTV9,http://61.188.85.118:8001/udp/239.93.1.24:5140
CCTV9,http://61.188.85.118:8001/udp/239.93.1.64:5140
CCTV9,http://61.188.85.118:8001/udp/239.93.1.75:5140
CCTV9,http://61.188.85.163:8001/udp/239.93.1.24:5140
CCTV9,http://61.188.85.163:8001/udp/239.93.1.64:5140
CCTV9,http://61.188.85.163:8001/udp/239.93.1.75:5140
CCTV兵器科技,http://106.59.2.162:55555/udp/239.200.200.91:8036
CCTV高尔夫网球,http://106.59.2.162:55555/udp/239.200.200.89:8024
CCTV怀旧剧场,http://106.59.2.162:55555/udp/239.200.200.85:8032
CCTV老故事,http://106.59.2.162:55555/udp/239.200.200.93:8088
CCTV少儿,http://113.248.110.83:8181/udp/235.254.198.10:1316
CCTV少儿,http://113.248.110.83:8181/udp/235.254.198.61:1520
CCTV少儿,http://113.249.227.18:8000/udp/235.254.198.10:1316
CCTV少儿,http://113.249.227.18:8000/udp/235.254.198.61:1520
CCTV少儿,http://119.86.72.213:4022/udp/235.254.198.10:1316
CCTV少儿,http://119.86.72.213:4022/udp/235.254.198.61:1520
CCTV世界地理,http://106.59.2.162:55555/udp/239.200.200.130:8012
CCTV新闻,http://125.70.183.105:8123/udp/239.93.0.66:5140
CCTV新闻,http://61.188.85.118:8001/udp/239.93.0.66:5140
CCTV新闻,http://61.188.85.163:8001/udp/239.93.0.66:5140
